GENESIS-Tabelle: 33111-0001
Bodenfläche (tatsächliche Nutzung): Deutschland, Stichtag,;;;;;
Nutzungsarten;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;
Deutschland;;;;;
Bodenfläche (qkm);;;;;
;31.12.2016;31.12.2017;31.12.2018;31.12.2019;31.12.2020
Siedlung;32770,07;32985,99;33267,97;33433,07;33616,33
Wohnbaufläche;13668,66;13723,66;13751,49;13824,40;13938,67
Industrie- und Gewerbefläche;6061,04;6105,85;6168,89;6210,52;6244,21
Industrie und Gewerbe;3731,60;3783,81;3823,47;3836,32;3838,90
Halde;174,01;169,53;155,90;152,99;150,64
Bergbaubetrieb;28,61;9,21;11,32;11,27;11,06
Tagebau, Grube, Steinbruch;1516,29;1518,54;1485,17;1494,58;1485,88
Fläche gemischter Nutzung;4312,57;4336,66;4390,89;4401,83;4403,69
Fläche besonderer funktionaler Prägung;1749,62;1725,84;1726,94;1724,81;1725,26
Sport-, Freizeit- und Erholungsfläche;4869,71;5007,34;5187,93;5223,92;5267,75
Grünanlage;2675,61;2937,74;3102,35;3129,68;3156,41
Friedhof;389,58;389,35;389,45;388,73;389,14
Verkehr;18028,90;18046,39;18047,03;18055,66;18076,19
Straßenverkehr;9479,32;9456,39;9426,84;9415,43;9407,01
Weg;6613,56;6657,76;6697,71;6728,00;6763,30
Platz;346,19;347,26;348,80;349,47;349,37
Bahnverkehr;1191,93;1183,21;1170,45;1163,60;1156,76
Flugverkehr;374,16;376,10;378,58;374,55;376,55
Schiffsverkehr;23,74;25,68;24,64;24,61;23,20
Vegetation;298561,67;298334,22;298064,71;297897,17;297700,20
Landwirtschaft;182637,36;182177,79;181624,93;181279,92;180934,42
Wald;106170,13;106379,55;106545,95;106587,79;106666,00
Gehölz;3702,33;3916,14;4121,42;4239,02;4293,13
Heide;609,02;646,68;680,66;685,33;714,51
Moor;811,29;813,35;804,04;802,21;798,74
Sumpf;369,32;372,51;382,13;380,45;385,21
Unland, Vegetationslose Fläche;4262,22;4028,20;3905,59;3922,46;3908,18
Gewässer;8218,98;8215,09;8201,82;8194,75;8194,44
Fließgewässer;3693,07;3668,13;3639,66;3624,00;3613,45
Hafenbecken;74,07;73,66;73,75;73,82;74,17
Stehendes Gewässer;4118,70;4138,61;4153,48;4161,19;4170,49
Meer;333,15;334,69;334,93;335,75;336,33
Insgesamt;357579,63;357581,68;357581,54;357580,65;357587,16
__________
© Statistisches Bundesamt (Destatis), 2022
Stand: 22.07.2022 / 12:31:46
